Date;Site;Exp;Sp;Mass
16/11/21;Fr4;C;Hfor;126
16/11/21;Fr4;C;Hfor;107
16/11/21;Fr4;C;Hfor;110
16/11/21;Fr4;C;Hfor;77
16/11/21;Fr4;C;Hfor;90
11/10/22;Fr1;E2;Htub;387
11/10/22;Fr1;E2;Htub;269
11/10/22;Fr1;E2;Htub;219
11/10/22;Fr1;E2;Htub;322
11/10/22;Fr1;E2;Htub;318
11/10/22;Fr1;E2;Htub;233
11/10/22;Fr1;E2;Htub;158
11/10/22;Fr1;E2;Htub;341
11/10/22;Fr1;E2;Htub;286
11/10/22;Fr1;E2;Htub;196
11/10/22;Fr1;E2;Htub;226
11/10/22;Fr1;E2;Htub;96
11/10/22;Fr2;E1;Htub;405
11/10/22;Fr2;E1;Htub;646
11/10/22;Fr2;E1;Htub;273
11/10/22;Fr2;E1;Htub;428
11/10/22;Fr2;E1;Htub;290
11/10/22;Fr2;E1;Htub;481
11/10/22;Fr2;E1;Htub;558
11/10/22;Fr2;E1;Htub;519
11/10/22;Fr2;E1;Htub;286
11/10/22;Fr2;E1;Htub;248
11/10/22;Fr2;E1;Htub;188
11/10/22;Fr2;E1;Htub;202
11/10/22;Fr3;E3;Htub;215
11/10/22;Fr3;E3;Htub;249
11/10/22;Fr3;E3;Htub;317
11/10/22;Fr3;E3;Htub;358
11/10/22;Fr3;E3;Htub;260
11/10/22;Fr3;E3;Htub;389
11/10/22;Fr3;E3;Htub;332
11/10/22;Fr3;E3;Htub;298
11/10/22;Fr3;E3;Htub;180
11/10/22;Fr3;E3;Htub;93
11/10/22;Fr4;C;Htub;368
11/10/22;Fr4;C;Htub;382
11/10/22;Fr4;C;Htub;402
11/10/22;Fr4;C;Htub;449
11/10/22;Fr4;C;Htub;271
11/10/22;Fr4;C;Htub;154
11/10/22;Fr4;C;Htub;228
11/10/22;Fr1;E2;Hfor;178
11/10/22;Fr1;E2;Hfor;145
11/10/22;Fr1;E2;Hfor;163
11/10/22;Fr1;E2;Hfor;146
11/10/22;Fr1;E2;Hfor;145
11/10/22;Fr1;E2;Hfor;122
11/10/22;Fr1;E2;Hfor;107
11/10/22;Fr1;E2;Hfor;167
11/10/22;Fr1;E2;Hfor;158
11/10/22;Fr1;E2;Hfor;105
11/10/22;Fr1;E2;Hfor;99
11/10/22;Fr1;E2;Hfor;140
11/10/22;Fr2;E1;Hfor;122
11/10/22;Fr2;E1;Hfor;131
11/10/22;Fr2;E1;Hfor;122
11/10/22;Fr2;E1;Hfor;128
11/10/22;Fr2;E1;Hfor;125
11/10/22;Fr2;E1;Hfor;93
11/10/22;Fr2;E1;Hfor;105
11/10/22;Fr2;E1;Hfor;133
11/10/22;Fr2;E1;Hfor;128
11/10/22;Fr2;E1;Hfor;88
11/10/22;Fr3;E3;Hfor;102
11/10/22;Fr3;E3;Hfor;123
11/10/22;Fr3;E3;Hfor;164
11/10/22;Fr3;E3;Hfor;157
11/10/22;Fr3;E3;Hfor;148
11/10/22;Fr3;E3;Hfor;94
